signature	etiology	etiologyBroad	associated_signatures_extracted	k_3	k_3top_words	k_2	k_2top_words
SBS89	Unknown	Unknown	DBS8	1	sequencing, artifact, sequencing_artifact, unknown, deficiency	1	sequencing, artifact, sequencing_artifact, unknown, deficiency
SBS91	Unknown	Unknown		1	sequencing, artifact, sequencing_artifact, unknown, deficiency	1	sequencing, artifact, sequencing_artifact, unknown, deficiency
SBS93	Unknown	Unknown		1	sequencing, artifact, sequencing_artifact, unknown, deficiency	1	sequencing, artifact, sequencing_artifact, unknown, deficiency
SBS94	Unknown	Unknown		1	sequencing, artifact, sequencing_artifact, unknown, deficiency	1	sequencing, artifact, sequencing_artifact, unknown, deficiency
SBS25	Unknown chemotherapy	Unknown		1	sequencing, artifact, sequencing_artifact, unknown, deficiency	1	sequencing, artifact, sequencing_artifact, unknown, deficiency
SBS86	Unknown chemotherapy	Unknown	SBS87	1	sequencing, artifact, sequencing_artifact, unknown, deficiency	1	sequencing, artifact, sequencing_artifact, unknown, deficiency
SBS7a	UV light exposure	UV light exposure	SBS7b;SBS7c;SBS7d;DBS1;ID13	1	sequencing, artifact, sequencing_artifact, unknown, deficiency	1	sequencing, artifact, sequencing_artifact, unknown, deficiency
SBS7b	UV light exposure	UV light exposure	SBS7a;SBS7c;SBS7d;DBS1;ID13	1	sequencing, artifact, sequencing_artifact, unknown, deficiency	1	sequencing, artifact, sequencing_artifact, unknown, deficiency
SBS7c	UV light exposure	UV light exposure	SBS7a;SBS7b;SBS7d	1	sequencing, artifact, sequencing_artifact, unknown, deficiency	1	sequencing, artifact, sequencing_artifact, unknown, deficiency
SBS7d	UV light exposure	UV light exposure	SBS7a;SBS7b;SBS7c	1	sequencing, artifact, sequencing_artifact, unknown, deficiency	1	sequencing, artifact, sequencing_artifact, unknown, deficiency
SBS38	UV light exposure (indirect effect)	UV light exposure		1	sequencing, artifact, sequencing_artifact, unknown, deficiency	1	sequencing, artifact, sequencing_artifact, unknown, deficiency
